text,emergency_level,sentiment,is_emergency,disaster_type,source,verified,timestamp
Regular update: Community event in industrial zone. #8665,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-11-17 04:52:51.322290
Minor flooding in industrial zone. Water level risen 15 inches due to snow. ID:6140,MEDIUM,NEUTRAL,True,FLOOD,emergency_service,True,2024-11-05 08:23:51.292292
lightning forecast for riverside. Expected duration: 6 hours. ID:4425,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-10-27 03:04:51.292292
Regular update: Community event in metropolitan area. #7951,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-11-02 20:04:51.322290
major landslide reported near harbor area. 5 homes at risk. ID:8884,HIGH,NEGATIVE,True,OTHER,public,True,2024-11-01 19:44:51.291297
Power outage affecting 7k residents in route 27 after hail. ID:1110,HIGH,NEGATIVE,True,OTHER,public,False,2024-11-12 02:24:51.283292
Protest scheduled at east area. Expecting 200 participants. ID:1054,MEDIUM,NEUTRAL,True,OTHER,public,True,2024-11-02 11:44:51.299300
Minor incident: snow affecting central park. Use caution. #4460,LOW,NEUTRAL,False,WEATHER,public,True,2024-11-08 11:21:51.315290
Minor incident: snow affecting south side. Use caution. #1607,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-11-03 05:53:51.315290
Water pressure issues reported in south side. 7 households affected. ID:5216,MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-06 00:00:51.298305
CRITICAL: substantial gas leak detected in metropolitan area. 15 block radius being evacuated now. ID:2044,CRITICAL,PANIC,True,OTHER,emergency_service,False,2024-11-14 19:56:51.278290
Protest scheduled at residential district. Expecting 1500 participants. ID:4167,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-10-25 18:01:51.299300
Regular update: Community event in east area. #4143,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-11-10 04:40:51.322290
Evacuation center at south side reaching capacity. 4 people sheltered. ID:6814,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-11-08 05:49:51.290297
heavy rain forecast for main street. Expected duration: 5 hours. ID:8694,MEDIUM,NEUTRAL,True,OTHER,public,True,2024-11-04 03:02:51.292292
30 aftershocks reported in city center. Magnitude extensive on Richter scale. ID:3796,HIGH,NEGATIVE,True,OTHER,public,True,2024-11-09 11:05:51.285293
critical accident on highway 101: 5 vehicles involved. Multiple injuries. Avoid area in next 30 minutes. ID:1097,CRITICAL,PANIC,True,OTHER,public,True,2024-11-11 23:58:51.279290
Regular update: Community event in south side. #4116,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-11-07 06:07:51.323290
Regular update: Community event in main street. #1635,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-11-05 02:15:51.323290
Regular update: Community event in industrial zone. #3385,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-11-10 09:19:51.323290
Minor flooding in south side. Water level risen 4 inches due to dense fog. ID:2391,MEDIUM,NEUTRAL,True,FLOOD,twitter,True,2024-10-23 02:39:51.292292
Regular update: Community event in north district. #8044,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-11-04 15:27:51.322290
Minor incident: strong winds affecting residential district. Use caution. #8053,LOW,NEUTRAL,False,WEATHER,public,False,2024-10-27 15:58:51.317291
extensive landslide reported near residential district. 7 homes at risk. ID:5672,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-28 06:03:51.291297
Hospital in riverside at 20% capacity. Seeking additional resources. ID:3011,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-11-02 00:34:51.285293
Small fire contained in riverside. 2 acres affected. No evacuations needed. ID:7825,MEDIUM,NEUTRAL,True,FIRE,public,True,2024-10-23 17:35:51.293290
30 aftershocks reported in downtown. Magnitude substantial on Richter scale. ID:7639,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-11-14 09:38:51.285293
Minor flooding in city center. Water level risen 20 inches due to dense fog. ID:9699,MEDIUM,NEUTRAL,True,FLOOD,twitter,False,2024-11-16 08:37:51.292292
Regular update: Community event in riverside. #6720,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-11-14 18:31:51.323290
Building collapsed in residential district after considerable earthquake. 5+ people trapped. Emergency services responding. ID:1471,CRITICAL,PANIC,True,EARTHQUAKE,public,False,2024-10-23 03:00:51.276291
significant hurricane with hail approaching west end. Wind speeds 40mph. Immediate evacuation ordered! ID:5461,CRITICAL,PANIC,True,HURRICANE,news_agency,True,2024-11-09 06:46:51.277291
12 traffic signals out in suburban area due to extreme heat. ID:7230,HIGH,NEGATIVE,True,OTHER,public,True,2024-10-20 22:33:51.289297
Minor incident: strong winds affecting commercial zone. Use caution. #1590,LOW,NEUTRAL,False,WEATHER,public,True,2024-10-22 09:38:51.315290
Missing person in highway 101: Last seen 9 hours ago during severe storm. ID:7894,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-11-14 20:03:51.287291
Regular update: Community event in industrial zone. #5744,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-11-09 07:48:51.321293
Minor incident: severe storm affecting interstate 95. Use caution. #5753,LOW,NEUTRAL,False,WEATHER,public,True,2024-10-21 12:10:51.315290
EMERGENCY: devastating chemical spill in industrial zone. 3 mile evacuation zone. Hazmat responding. ID:8956,CRITICAL,PANIC,True,HAZMAT,public,True,2024-10-30 06:54:51.279290
Protest scheduled at city center. Expecting 300 participants. ID:5998,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-11-10 07:09:51.299300
Dam failure imminent at main street! 4 communities at risk. Evacuate without delay! #flood ID:1826,CRITICAL,PANIC,True,FLOOD,public,True,2024-11-07 04:25:51.281293
Minor flooding in suburban area. Water level risen 20 inches due to strong winds. ID:6095,MEDIUM,NEUTRAL,True,FLOOD,public,True,2024-10-26 23:16:51.292292
Water contamination alert for suburban area. Affects 20k residents. Boil advisory issued. ID:2763,HIGH,NEGATIVE,True,OTHER,emergency_service,False,2024-10-29 10:00:51.286290
"URGENT: devastating flooding in city center, 5 people trapped! Rescue needed urgently! #emergency ID:6892",CRITICAL,PANIC,True,FLOOD,twitter,True,2024-10-22 12:51:51.274300
Active shooter at suburban area. 15 casualties reported. Police operation ongoing. Stay away! ID:8954,CRITICAL,PANIC,True,VIOLENCE,twitter,False,2024-11-14 14:11:51.280291
5 traffic signals out in residential district due to heavy rain. ID:8124,HIGH,NEGATIVE,True,OTHER,news_agency,False,2024-10-26 13:33:51.289297
Power outage affecting 30k residents in metropolitan area after hail. ID:8660,HIGH,NEGATIVE,True,OTHER,public,True,2024-11-06 03:35:51.283292
Minor incident: ice affecting central park. Use caution. #5274,LOW,NEUTRAL,False,WEATHER,news_agency,False,2024-10-26 08:07:51.315290
Regular update: Community event in highway 101. #2327,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-11-08 04:28:51.323290
extensive accident on south side: 4 vehicles involved. Multiple injuries. Avoid area urgently. ID:4976,CRITICAL,PANIC,True,OTHER,news_agency,False,2024-11-04 16:54:51.279290
Dam failure imminent at industrial zone! 8 communities at risk. Evacuate now! #flood ID:2293,CRITICAL,PANIC,True,FLOOD,emergency_service,False,2024-10-27 04:47:51.281293
"Construction incident at downtown. Area secured, 7 workers affected. ID:4794",MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-11 20:37:51.297292
dense fog forecast for main street. Expected duration: 6 hours. ID:5853,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-11-15 10:37:51.292292
Traffic delay on residential district: 3 minute backup due to critical accident. ID:7360,MEDIUM,NEUTRAL,True,OTHER,news_agency,False,2024-10-26 06:10:51.294292
Regular update: Community event in north district. #4498,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-10-28 12:33:51.322290
Beach hazard at route 27: lightning causing dangerous conditions. ID:7889,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-11-14 16:41:51.300291
Regular update: Community event in downtown. #7957,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-11-11 06:45:51.323290
EMERGENCY: substantial chemical spill in east area. 5 mile evacuation zone. Hazmat responding. ID:1871,CRITICAL,PANIC,True,HAZMAT,twitter,True,2024-10-27 17:19:51.279290
dense fog forecast for harbor area. Expected duration: 10 hours. ID:6476,MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-05 13:16:51.292292
Minor incident: ice affecting east area. Use caution. #8872,LOW,NEUTRAL,False,WEATHER,public,False,2024-11-03 16:40:51.317291
"URGENT: severe flooding in riverside, 2 people trapped! Rescue needed without delay! #emergency ID:5381",CRITICAL,PANIC,True,FLOOD,public,True,2024-11-06 07:49:51.274300
Missing person in harbor area: Last seen 2 hours ago during lightning. ID:3621,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-11-12 06:55:51.287291
Minor flooding in suburban area. Water level risen 15 inches due to ice. ID:8665,MEDIUM,NEUTRAL,True,FLOOD,emergency_service,True,2024-11-10 00:29:51.292292
"considerable brush fire near west end, spreading as soon as possible. 15 acres affected. ID:2293",HIGH,NEGATIVE,True,FIRE,news_agency,True,2024-10-23 20:33:51.284291
Regular update: Community event in north district. #8262,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-11-02 14:32:51.323290
"URGENT: massive flooding in harbor area, 6 people trapped! Rescue needed without delay! #emergency ID:9036",CRITICAL,PANIC,True,FLOOD,news_agency,True,2024-11-06 02:35:51.274300
Hospital in highway 101 at 8% capacity. Seeking additional resources. ID:9092,HIGH,NEGATIVE,True,OTHER,twitter,True,2024-11-16 23:35:51.285293
Evacuation center at metropolitan area reaching capacity. 25 people sheltered. ID:8691,HIGH,NEGATIVE,True,OTHER,twitter,True,2024-11-03 19:33:51.290297
Regular update: Community event in industrial zone. #7767,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-10-23 05:41:51.322290
Small fire contained in industrial zone. 15 acres affected. No evacuations needed. ID:7062,MEDIUM,NEUTRAL,True,FIRE,emergency_service,True,2024-11-12 20:37:51.293290
Wildlife alert: considerable bear sighted in south side. Stay alert. ID:8081,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-10-21 18:11:51.296292
Minor incident: extreme heat affecting highway 101. Use caution. #3865,LOW,NEUTRAL,False,WEATHER,public,False,2024-11-07 19:04:51.316291
massive accident on route 27: 15 vehicles involved. Multiple injuries. Avoid area now. ID:7683,CRITICAL,PANIC,True,OTHER,emergency_service,True,2024-11-07 22:44:51.279290
substantial hurricane with lightning approaching metropolitan area. Wind speeds 50mph. Immediate evacuation ordered! ID:6360,CRITICAL,PANIC,True,HURRICANE,public,False,2024-10-23 05:21:51.277291
Minor incident: strong winds affecting west end. Use caution. #7518,LOW,NEUTRAL,False,WEATHER,news_agency,False,2024-11-15 18:19:51.315290
Regular update: Community event in east area. #7239,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-10-19 23:32:51.322290
Regular update: Community event in downtown. #9629,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-11-01 18:05:51.322290
Planned power outage in east area for 20 hours tomorrow. ID:2234,MEDIUM,NEUTRAL,True,OTHER,public,True,2024-11-15 20:14:51.295291
Regular update: Community event in north district. #3189,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-10-29 23:47:51.323290
Minor incident: extreme heat affecting south side. Use caution. #4776,LOW,NEUTRAL,False,WEATHER,public,True,2024-10-23 15:56:51.315290
Dam failure imminent at metropolitan area! 7 communities at risk. Evacuate immediately! #flood ID:2204,CRITICAL,PANIC,True,FLOOD,twitter,False,2024-11-06 23:32:51.281293
Building collapsed in metropolitan area after significant earthquake. 9+ people trapped. Emergency services responding. ID:9773,CRITICAL,PANIC,True,EARTHQUAKE,twitter,True,2024-11-15 02:08:51.276291
Regular update: Community event in west end. #8488,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-10-19 11:48:51.323290
Minor flooding in metropolitan area. Water level risen 25 inches due to heavy rain. ID:4175,MEDIUM,NEUTRAL,True,FLOOD,emergency_service,True,2024-10-23 17:52:51.292292
severe landslide reported near central park. 5 homes at risk. ID:1735,HIGH,NEGATIVE,True,OTHER,twitter,False,2024-10-24 16:57:51.291297
Planned power outage in west end for 10 hours tomorrow. ID:2831,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-10-23 02:58:51.295291
Regular update: Community event in central park. #4694,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-10-31 11:36:51.322290
serious hurricane with snow approaching north district. Wind speeds 250mph. Immediate evacuation ordered! ID:2958,CRITICAL,PANIC,True,HURRICANE,news_agency,False,2024-11-11 08:31:51.277291
Minor incident: extreme heat affecting main street. Use caution. #6099,LOW,NEUTRAL,False,WEATHER,news_agency,False,2024-11-10 04:43:51.316291
Wildlife alert: considerable bear sighted in downtown. Stay alert. ID:9094,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-11-05 23:56:51.296292
Water contamination alert for harbor area. Affects 20k residents. Boil advisory issued. ID:2573,HIGH,NEGATIVE,True,OTHER,public,False,2024-11-08 00:15:51.286290
Minor incident: ice affecting central park. Use caution. #3645,LOW,NEUTRAL,False,WEATHER,news_agency,True,2024-11-07 05:25:51.317291
severe hurricane with lightning approaching route 27. Wind speeds 60mph. Immediate evacuation ordered! ID:5784,CRITICAL,PANIC,True,HURRICANE,public,True,2024-10-18 21:42:51.277291
Regular update: Community event in harbor area. #7850,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-11-04 14:04:51.323290
Minor incident: ice affecting residential district. Use caution. #5593,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-10-24 05:31:51.317291
EMERGENCY: major chemical spill in riverside. 7 mile evacuation zone. Hazmat responding. ID:4981,CRITICAL,PANIC,True,HAZMAT,public,False,2024-11-16 12:11:51.279290
Minor flooding in main street. Water level risen 2 inches due to snow. ID:8766,MEDIUM,NEUTRAL,True,FLOOD,emergency_service,False,2024-11-17 14:00:51.292292
serious accident on main street: 5 vehicles involved. Multiple injuries. Avoid area in next 30 minutes. ID:2069,CRITICAL,PANIC,True,OTHER,emergency_service,False,2024-10-31 09:00:51.279290
Regular update: Community event in commercial zone. #7622,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-11-07 14:30:51.322290
"Construction incident at riverside. Area secured, 30 workers affected. ID:2566",MEDIUM,NEUTRAL,True,OTHER,public,True,2024-10-27 15:10:51.297292
Regular update: Community event in west end. #6816,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-11-16 13:59:51.322290
CRITICAL: serious gas leak detected in city center. 25 block radius being evacuated as soon as possible. ID:1629,CRITICAL,PANIC,True,OTHER,public,True,2024-11-05 05:10:51.278290
"Construction incident at industrial zone. Area secured, 2 workers affected. ID:1778",MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-11-09 08:29:51.297292
Power outage affecting 25k residents in east area after extreme heat. ID:1167,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-27 21:09:51.283292
Wildlife alert: substantial bear sighted in commercial zone. Stay alert. ID:9016,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-10-19 10:29:51.296292
Regular update: Community event in north district. #1599,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-11-12 06:09:51.323290
Regular update: Community event in west end. #9521,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-11-16 02:09:51.322290
ALERT: extensive tornado approaching main street. 7 minutes to seek shelter! #tornado ID:7106,CRITICAL,PANIC,True,TORNADO,news_agency,False,2024-10-23 21:44:51.275300
CRITICAL: severe gas leak detected in metropolitan area. 8 block radius being evacuated in next 30 minutes. ID:5014,CRITICAL,PANIC,True,OTHER,twitter,True,2024-11-10 21:05:51.278290
25 casualties reported in severe fire near harbor area. Evacuate without delay! #wildfire ID:7613,CRITICAL,PANIC,True,FIRE,news_agency,True,2024-10-27 16:14:51.274300
Regular update: Community event in west end. #2473,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-10-28 23:56:51.323290
Building collapsed in route 27 after critical earthquake. 6+ people trapped. Emergency services responding. ID:5249,CRITICAL,PANIC,True,EARTHQUAKE,public,False,2024-10-27 19:45:51.276291
Traffic delay on central park: 15 minute backup due to extensive accident. ID:5011,MEDIUM,NEUTRAL,True,OTHER,public,True,2024-11-07 01:37:51.294292
25 casualties reported in devastating fire near south side. Evacuate now! #wildfire ID:7648,CRITICAL,PANIC,True,FIRE,public,False,2024-11-15 06:42:51.274300
Regular update: Community event in south side. #9013,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-11-04 23:36:51.323290
Protest scheduled at main street. Expecting 400 participants. ID:5999,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-10-28 08:24:51.299300
Evacuation center at south side reaching capacity. 9 people sheltered. ID:5745,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-30 07:59:51.290297
Minor incident: lightning affecting harbor area. Use caution. #6391,LOW,NEUTRAL,False,WEATHER,public,False,2024-10-25 20:20:51.316291
critical hurricane with strong winds approaching east area. Wind speeds 200mph. Immediate evacuation ordered! ID:2352,CRITICAL,PANIC,True,HURRICANE,news_agency,False,2024-11-11 18:53:51.277291
Power outage affecting 12k residents in main street after snow. ID:5507,HIGH,NEGATIVE,True,OTHER,public,True,2024-10-18 18:38:51.283292
Minor incident: hail affecting highway 101. Use caution. #8867,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-11-05 11:27:51.317291
Regular update: Community event in central park. #1127,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-10-20 12:40:51.322290
"Construction incident at city center. Area secured, 25 workers affected. ID:7491",MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-13 05:43:51.297292
hail forecast for highway 101. Expected duration: 8 hours. ID:5151,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-11-16 01:02:51.292292
Minor incident: lightning affecting main street. Use caution. #1288,LOW,NEUTRAL,False,WEATHER,public,False,2024-11-12 03:40:51.316291
Dam failure imminent at metropolitan area! 12 communities at risk. Evacuate urgently! #flood ID:4574,CRITICAL,PANIC,True,FLOOD,news_agency,True,2024-10-26 19:06:51.281293
Minor incident: hail affecting east area. Use caution. #9953,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-10-26 16:45:51.316291
8 aftershocks reported in highway 101. Magnitude severe on Richter scale. ID:2536,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-11-13 07:20:51.285293
Active shooter at route 27. 9 casualties reported. Police operation ongoing. Stay away! ID:2357,CRITICAL,PANIC,True,VIOLENCE,emergency_service,True,2024-10-29 19:34:51.280291
20 aftershocks reported in industrial zone. Magnitude major on Richter scale. ID:1657,HIGH,NEGATIVE,True,OTHER,public,True,2024-11-12 01:29:51.285293
Minor incident: hail affecting suburban area. Use caution. #6689,LOW,NEUTRAL,False,WEATHER,news_agency,True,2024-10-28 04:27:51.315290
15 aftershocks reported in harbor area. Magnitude devastating on Richter scale. ID:7657,HIGH,NEGATIVE,True,OTHER,emergency_service,False,2024-11-13 08:34:51.285293
Minor incident: severe storm affecting west end. Use caution. #6244,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-10-27 17:00:51.316291
suburban area roads flooded due to ice. 4 feet of water reported. ID:6425,HIGH,NEGATIVE,True,FLOOD,twitter,False,2024-10-20 19:33:51.282296
Active shooter at downtown. 20 casualties reported. Police operation ongoing. Stay away! ID:3022,CRITICAL,PANIC,True,VIOLENCE,public,True,2024-11-13 01:21:51.280291
"Construction incident at central park. Area secured, 25 workers affected. ID:8849",MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-11-02 03:45:51.297292
commercial zone roads flooded due to lightning. 30 feet of water reported. ID:4833,HIGH,NEGATIVE,True,FLOOD,news_agency,True,2024-11-10 17:35:51.282296
Evacuation center at route 27 reaching capacity. 3 people sheltered. ID:8219,HIGH,NEGATIVE,True,OTHER,public,False,2024-10-22 18:41:51.290297
Minor incident: extreme heat affecting central park. Use caution. #1928,LOW,NEUTRAL,False,WEATHER,news_agency,True,2024-10-23 18:43:51.315290
Water pressure issues reported in highway 101. 2 households affected. ID:7322,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-10-19 13:12:51.298305
Regular update: Community event in west end. #5831,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-11-03 15:37:51.321293
Regular update: Community event in city center. #3130,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-11-16 01:09:51.323290
Small fire contained in south side. 30 acres affected. No evacuations needed. ID:1438,MEDIUM,NEUTRAL,True,FIRE,twitter,True,2024-11-14 02:28:51.293290
"URGENT: major flooding in central park, 4 people trapped! Rescue needed within next hour! #emergency ID:4748",CRITICAL,PANIC,True,FLOOD,public,False,2024-11-12 14:55:51.274300
Minor incident: strong winds affecting city center. Use caution. #4596,LOW,NEUTRAL,False,WEATHER,news_agency,False,2024-10-25 22:07:51.317291
heavy rain forecast for highway 101. Expected duration: 15 hours. ID:6316,MEDIUM,NEUTRAL,True,OTHER,public,True,2024-11-13 18:25:51.292292
Regular update: Community event in commercial zone. #2942,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-10-27 13:43:51.322290
Dam failure imminent at industrial zone! 15 communities at risk. Evacuate now! #flood ID:3458,CRITICAL,PANIC,True,FLOOD,twitter,False,2024-11-08 12:21:51.281293
Small fire contained in harbor area. 30 acres affected. No evacuations needed. ID:4602,MEDIUM,NEUTRAL,True,FIRE,twitter,False,2024-11-08 06:41:51.293290
"Construction incident at metropolitan area. Area secured, 6 workers affected. ID:5765",MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-10-31 00:18:51.297292
Regular update: Community event in metropolitan area. #2177,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-10-28 04:24:51.322290
Regular update: Community event in harbor area. #7518,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-10-31 12:59:51.321293
Regular update: Community event in harbor area. #7877,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-11-01 19:01:51.323290
7 casualties reported in major fire near route 27. Evacuate as soon as possible! #wildfire ID:4470,CRITICAL,PANIC,True,FIRE,twitter,False,2024-11-06 06:04:51.274300
Small fire contained in industrial zone. 9 acres affected. No evacuations needed. ID:6044,MEDIUM,NEUTRAL,True,FIRE,emergency_service,True,2024-10-30 16:56:51.293290
Minor incident: extreme heat affecting south side. Use caution. #3400,LOW,NEUTRAL,False,WEATHER,public,False,2024-11-11 06:48:51.317291
EMERGENCY: devastating chemical spill in metropolitan area. 30 mile evacuation zone. Hazmat responding. ID:4000,CRITICAL,PANIC,True,HAZMAT,news_agency,False,2024-11-06 13:00:51.279290
metropolitan area roads flooded due to lightning. 9 feet of water reported. ID:7113,HIGH,NEGATIVE,True,FLOOD,twitter,False,2024-10-27 11:06:51.282296
Regular update: Community event in north district. #6922,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-11-01 04:32:51.322290
Evacuation center at east area reaching capacity. 12 people sheltered. ID:9703,HIGH,NEGATIVE,True,OTHER,public,True,2024-11-03 19:14:51.290297
