text,emergency_level,sentiment,is_emergency,disaster_type,verified,timestamp
"Caller: My neighbor is acting strangely at 5th Avenue. It might be nothing, but I’m concerned.
Operator: We'll send someone to check on the situation.",MEDIUM,NEUTRAL,True,OTHER,True,2024-10-20 17:46:44.564390
"Caller: My neighbor is acting strangely at Downtown. It might be nothing, but I’m concerned.
Operator: We'll send someone to check on the situation.",MEDIUM,NEUTRAL,True,OTHER,True,2024-10-20 22:45:44.564390
"Caller: There's been a flooded road at Central Park. We need help immediately!
Operator: Stay calm. Emergency services are on their way.
Caller: Please hurry, people are hurt!",CRITICAL,PANIC,True,OTHER,True,2024-11-12 14:38:44.558388
"Caller: Can you tell me if the community center is open today?
Operator: This line is for emergencies only. Please contact the center directly.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-11-07 05:27:44.569389
"Caller: I heard gunshots near Industrial zone. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-11-03 05:13:44.560386
"Caller: There's a fire in my building at Downtown! It's spreading quickly!
Operator: Evacuate the building immediately. Firefighters are on their way.",CRITICAL,PANIC,True,FIRE,True,2024-10-24 18:18:44.560386
"Caller: My neighbor is acting strangely at Central Park. It might be nothing, but I’m concerned.
Operator: We'll send someone to check on the situation.",MEDIUM,NEUTRAL,True,OTHER,True,2024-10-23 15:31:44.564390
"Caller: There’s a traffic jam on Riverside due to a small accident.
Operator: Thanks for letting us know. We’ll send a traffic officer.",LOW,NEUTRAL,True,TRAFFIC,True,2024-11-09 05:28:44.566389
"Caller: Can you tell me if the community center is open today?
Operator: This line is for emergencies only. Please contact the center directly.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-11-11 02:23:44.569389
"Caller: We have a stroke here. It happened 10 minutes ago. What should we do?
Operator: Help is on the way. Please stay with the patient.",HIGH,NEGATIVE,True,OTHER,True,2024-11-15 02:59:44.562384
"Caller: There's a fire in my building at Elm Ave! It's spreading quickly!
Operator: Evacuate the building immediately. Firefighters are on their way.",CRITICAL,PANIC,True,FIRE,True,2024-11-06 02:16:44.560386
"Caller: There's a fire in my building at Main St! It's spreading quickly!
Operator: Evacuate the building immediately. Firefighters are on their way.",CRITICAL,PANIC,True,FIRE,False,2024-11-03 13:43:44.560386
"Caller: There's been a gas leak at Suburban area. We need help immediately!
Operator: Stay calm. Emergency services are on their way.
Caller: Please hurry, people are hurt!",CRITICAL,PANIC,True,OTHER,False,2024-10-26 06:25:44.558388
"Caller: There’s a traffic jam on Elm Ave due to a small accident.
Operator: Thanks for letting us know. We’ll send a traffic officer.",LOW,NEUTRAL,True,TRAFFIC,True,2024-10-20 19:05:44.566389
"Caller: I just witnessed a minor robbery on Elm Ave. It doesn’t look like anyone is hurt.
Operator: Thank you for the report. We'll check it out.",MEDIUM,NEUTRAL,True,OTHER,True,2024-11-12 21:46:44.563383
"Caller: There's a fire in my building at Downtown! It's spreading quickly!
Operator: Evacuate the building immediately. Firefighters are on their way.",CRITICAL,PANIC,True,FIRE,True,2024-10-22 09:56:44.560386
"Caller: I see smoke coming from a building at Park Lane.
Operator: Fire services have been notified. Stay away from the area.",HIGH,NEGATIVE,True,FIRE,False,2024-11-08 21:06:44.563383
"Caller: I see smoke coming from a building at Suburban area.
Operator: Fire services have been notified. Stay away from the area.",HIGH,NEGATIVE,True,FIRE,True,2024-11-10 09:50:44.563383
"Caller: I heard gunshots near Broadway. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,False,2024-10-23 04:52:44.560386
"Caller: We have a heart attack here. It happened 10 minutes ago. What should we do?
Operator: Help is on the way. Please stay with the patient.",HIGH,NEGATIVE,True,OTHER,True,2024-10-19 23:39:44.562384
"Caller: I heard gunshots near Industrial zone. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-10-19 19:40:44.560386
"Caller: My cat is stuck in a tree at Riverside. Can you help?
Operator: Please contact animal control for assistance.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-11-09 12:10:44.570385
"Caller: I heard gunshots near Suburban area. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-10-21 01:12:44.560386
"Caller: There's a flooded road at Main St. It looks bad.
Operator: Are there any injuries?
Caller: I’m not sure, but it looks serious.",HIGH,NEGATIVE,True,OTHER,True,2024-10-23 07:29:44.561393
"Caller: There's been a domestic disturbance at Main St. We need help immediately!
Operator: Stay calm. Emergency services are on their way.
Caller: Please hurry, people are hurt!",CRITICAL,PANIC,True,OTHER,True,2024-10-31 13:17:44.558388
"Caller: There's a flooded road at Main St. It looks bad.
Operator: Are there any injuries?
Caller: I’m not sure, but it looks serious.",HIGH,NEGATIVE,True,OTHER,True,2024-11-12 09:34:44.561393
"Caller: I heard gunshots near Suburban area. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-11-01 18:33:44.560386
"Caller: I heard gunshots near Park Lane. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-10-29 06:12:44.560386
"Caller: My friend is having a allergic reaction at Broadway. Please send an ambulance fast!
Operator: An ambulance is on the way. Keep your friend comfortable and stay on the line.",CRITICAL,PANIC,True,OTHER,True,2024-11-14 23:53:44.559383
"Caller: My friend is having a stroke at Industrial zone. Please send an ambulance fast!
Operator: An ambulance is on the way. Keep your friend comfortable and stay on the line.",CRITICAL,PANIC,True,OTHER,True,2024-10-18 17:08:44.559383
"Caller: There's a fire in my building at Suburban area! It's spreading quickly!
Operator: Evacuate the building immediately. Firefighters are on their way.",CRITICAL,PANIC,True,FIRE,True,2024-10-28 04:20:44.560386
"Caller: I heard gunshots near Industrial zone. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,False,2024-11-01 12:16:44.560386
"Caller: My neighbor is acting strangely at 5th Avenue. It might be nothing, but I’m concerned.
Operator: We'll send someone to check on the situation.",MEDIUM,NEUTRAL,True,OTHER,True,2024-10-20 16:58:44.564390
"Caller: I just witnessed a minor house fire on Park Lane. It doesn’t look like anyone is hurt.
Operator: Thank you for the report. We'll check it out.",MEDIUM,NEUTRAL,True,OTHER,True,2024-10-30 11:48:44.563383
"Caller: There's been a robbery at Central Park. We need help immediately!
Operator: Stay calm. Emergency services are on their way.
Caller: Please hurry, people are hurt!",CRITICAL,PANIC,True,OTHER,False,2024-11-07 22:57:44.558388
"Caller: There’s a traffic jam on Park Lane due to a small accident.
Operator: Thanks for letting us know. We’ll send a traffic officer.",LOW,NEUTRAL,True,TRAFFIC,False,2024-11-10 17:35:44.566389
"Caller: My cat is stuck in a tree at Central Park. Can you help?
Operator: Please contact animal control for assistance.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-10-25 03:49:44.570385
"Caller: I see smoke coming from a building at Suburban area.
Operator: Fire services have been notified. Stay away from the area.",HIGH,NEGATIVE,True,FIRE,True,2024-10-22 21:18:44.563383
"Caller: We have a choking here. It happened 10 minutes ago. What should we do?
Operator: Help is on the way. Please stay with the patient.",HIGH,NEGATIVE,True,OTHER,True,2024-10-29 01:04:44.562384
"Caller: I see smoke coming from a building at Riverside.
Operator: Fire services have been notified. Stay away from the area.",HIGH,NEGATIVE,True,FIRE,True,2024-11-08 17:32:44.563383
"Caller: There's a robbery at Elm Ave. It looks bad.
Operator: Are there any injuries?
Caller: I’m not sure, but it looks serious.",HIGH,NEGATIVE,True,OTHER,True,2024-10-30 12:55:44.561393
"Caller: There's a fire in my building at Industrial zone! It's spreading quickly!
Operator: Evacuate the building immediately. Firefighters are on their way.",CRITICAL,PANIC,True,FIRE,True,2024-11-11 20:23:44.560386
"Caller: There’s a loud party at Suburban area. It’s been going on for hours.
Operator: We’ll notify local police to check it out.",LOW,NEUTRAL,True,OTHER,False,2024-11-03 08:29:44.567393
"Caller: My neighbor is acting strangely at Industrial zone. It might be nothing, but I’m concerned.
Operator: We'll send someone to check on the situation.",MEDIUM,NEUTRAL,True,OTHER,True,2024-10-23 07:47:44.564390
"Caller: I heard gunshots near 5th Avenue. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-11-08 19:41:44.560386
"Caller: There's a medical emergency at Main St. It looks bad.
Operator: Are there any injuries?
Caller: I’m not sure, but it looks serious.",HIGH,NEGATIVE,True,OTHER,True,2024-11-08 04:10:44.561393
"Caller: There’s a loud party at Riverside. It’s been going on for hours.
Operator: We’ll notify local police to check it out.",LOW,NEUTRAL,True,OTHER,True,2024-10-28 14:16:44.567393
"Caller: I heard gunshots near Suburban area. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-10-25 05:14:44.560386
"Caller: My neighbor is acting strangely at Broadway. It might be nothing, but I’m concerned.
Operator: We'll send someone to check on the situation.",MEDIUM,NEUTRAL,True,OTHER,True,2024-11-08 23:30:44.564390
"Caller: I heard gunshots near 5th Avenue. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-10-28 10:17:44.560386
"Caller: My cat is stuck in a tree at Riverside. Can you help?
Operator: Please contact animal control for assistance.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-11-13 23:16:44.570385
"Caller: I just witnessed a minor house fire on Industrial zone. It doesn’t look like anyone is hurt.
Operator: Thank you for the report. We'll check it out.",MEDIUM,NEUTRAL,True,OTHER,True,2024-11-02 18:17:44.563383
"Caller: My cat is stuck in a tree at Downtown. Can you help?
Operator: Please contact animal control for assistance.",NON_EMERGENCY,POSITIVE,False,OTHER,False,2024-11-07 14:04:44.570385
"Caller: My cat is stuck in a tree at Elm Ave. Can you help?
Operator: Please contact animal control for assistance.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-10-22 23:39:44.570385
"Caller: There's been a missing child at Downtown. We need help immediately!
Operator: Stay calm. Emergency services are on their way.
Caller: Please hurry, people are hurt!",CRITICAL,PANIC,True,OTHER,True,2024-11-17 10:46:44.558388
"Caller: I heard gunshots near Central Park. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-11-09 03:46:44.560386
"Caller: There's a fire in my building at Industrial zone! It's spreading quickly!
Operator: Evacuate the building immediately. Firefighters are on their way.",CRITICAL,PANIC,True,FIRE,True,2024-11-07 23:24:44.560386
"Caller: Can you tell me if the community center is open today?
Operator: This line is for emergencies only. Please contact the center directly.",NON_EMERGENCY,POSITIVE,False,OTHER,False,2024-11-05 11:28:44.569389
"Caller: My friend is having a stroke at Industrial zone. Please send an ambulance fast!
Operator: An ambulance is on the way. Keep your friend comfortable and stay on the line.",CRITICAL,PANIC,True,OTHER,True,2024-11-16 15:12:44.559383
"Caller: My neighbor is acting strangely at Central Park. It might be nothing, but I’m concerned.
Operator: We'll send someone to check on the situation.",MEDIUM,NEUTRAL,True,OTHER,True,2024-10-21 05:19:44.564390
"Caller: I heard gunshots near 5th Avenue. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,True,2024-10-26 10:13:44.560386
"Caller: There’s a loud party at Broadway. It’s been going on for hours.
Operator: We’ll notify local police to check it out.",LOW,NEUTRAL,True,OTHER,True,2024-10-20 11:30:44.567393
"Caller: My friend is having a choking at 5th Avenue. Please send an ambulance fast!
Operator: An ambulance is on the way. Keep your friend comfortable and stay on the line.",CRITICAL,PANIC,True,OTHER,True,2024-11-11 21:00:44.559383
"Caller: Can you tell me if the community center is open today?
Operator: This line is for emergencies only. Please contact the center directly.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-11-05 16:59:44.569389
"Caller: There's been a gas leak at Suburban area. We need help immediately!
Operator: Stay calm. Emergency services are on their way.
Caller: Please hurry, people are hurt!",CRITICAL,PANIC,True,OTHER,True,2024-11-12 07:52:44.558388
"Caller: I see smoke coming from a building at Elm Ave.
Operator: Fire services have been notified. Stay away from the area.",HIGH,NEGATIVE,True,FIRE,True,2024-11-07 23:32:44.563383
"Caller: Can you tell me if the community center is open today?
Operator: This line is for emergencies only. Please contact the center directly.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-10-21 20:37:44.569389
"Caller: There's been a missing child at Downtown. We need help immediately!
Operator: Stay calm. Emergency services are on their way.
Caller: Please hurry, people are hurt!",CRITICAL,PANIC,True,OTHER,True,2024-11-04 19:25:44.558388
"Caller: We have a choking here. It happened 5 minutes ago. What should we do?
Operator: Help is on the way. Please stay with the patient.",HIGH,NEGATIVE,True,OTHER,True,2024-10-31 10:55:44.562384
"Caller: There's been a gas leak at Park Lane. We need help immediately!
Operator: Stay calm. Emergency services are on their way.
Caller: Please hurry, people are hurt!",CRITICAL,PANIC,True,OTHER,True,2024-11-05 13:23:44.558388
"Caller: Can you tell me if the community center is open today?
Operator: This line is for emergencies only. Please contact the center directly.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-11-03 20:16:44.569389
"Caller: My neighbor is acting strangely at Downtown. It might be nothing, but I’m concerned.
Operator: We'll send someone to check on the situation.",MEDIUM,NEUTRAL,True,OTHER,False,2024-11-06 06:01:44.564390
"Caller: There’s a loud party at Broadway. It’s been going on for hours.
Operator: We’ll notify local police to check it out.",LOW,NEUTRAL,True,OTHER,False,2024-11-13 07:57:44.567393
"Caller: Can you tell me if the community center is open today?
Operator: This line is for emergencies only. Please contact the center directly.",NON_EMERGENCY,POSITIVE,False,OTHER,True,2024-10-28 20:40:44.569389
"Caller: My friend is having a stroke at Riverside. Please send an ambulance fast!
Operator: An ambulance is on the way. Keep your friend comfortable and stay on the line.",CRITICAL,PANIC,True,OTHER,False,2024-10-24 18:56:44.559383
"Caller: I heard gunshots near Suburban area. I think someone is hurt!
Operator: Stay inside and stay safe. Police are on their way.",CRITICAL,PANIC,True,OTHER,False,2024-11-04 05:54:44.560386
"Caller: My friend is having a stroke at Broadway. Please send an ambulance fast!
Operator: An ambulance is on the way. Keep your friend comfortable and stay on the line.",CRITICAL,PANIC,True,OTHER,True,2024-10-23 22:05:44.559383
"Caller: We have a allergic reaction here. It happened 10 minutes ago. What should we do?
Operator: Help is on the way. Please stay with the patient.",HIGH,NEGATIVE,True,OTHER,False,2024-11-12 06:15:44.562384
"Caller: There's a house fire at Broadway. It looks bad.
Operator: Are there any injuries?
Caller: I’m not sure, but it looks serious.",HIGH,NEGATIVE,True,OTHER,True,2024-11-11 04:28:44.561393
"Caller: There’s a traffic jam on Broadway due to a small accident.
Operator: Thanks for letting us know. We’ll send a traffic officer.",LOW,NEUTRAL,True,TRAFFIC,True,2024-11-03 12:20:44.566389
"Caller: There's been a flooded road at Main St. We need help immediately!
Operator: Stay calm. Emergency services are on their way.
Caller: Please hurry, people are hurt!",CRITICAL,PANIC,True,OTHER,True,2024-11-16 00:47:44.558388
"Caller: There’s a traffic jam on Broadway due to a small accident.
Operator: Thanks for letting us know. We’ll send a traffic officer.",LOW,NEUTRAL,True,TRAFFIC,True,2024-10-21 01:54:44.566389
"Caller: There’s a traffic jam on Downtown due to a small accident.
Operator: Thanks for letting us know. We’ll send a traffic officer.",LOW,NEUTRAL,True,TRAFFIC,True,2024-11-03 12:32:44.566389
