text,emergency_level,sentiment,is_emergency,disaster_type,source,verified,timestamp
Water pressure issues reported in north district. 30 households affected. ID:4084,MEDIUM,NEUTRAL,True,OTHER,emergency_service,False,2024-11-02 10:28:00.610805
Hospital in riverside at 6% capacity. Seeking additional resources. ID:5498,HIGH,NEGATIVE,True,OTHER,news_agency,False,2024-10-19 13:28:00.597076
8 casualties reported in substantial fire near interstate 95. Evacuate immediately! #wildfire ID:2060,CRITICAL,PANIC,True,FIRE,public,True,2024-11-02 02:34:00.579077
Minor incident: dense fog affecting suburban area. Use caution. #6669,LOW,NEUTRAL,False,WEATHER,news_agency,True,2024-10-19 05:42:00.633504
Minor incident: heavy rain affecting main street. Use caution. #6448,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-11-09 04:29:00.633504
central park roads flooded due to dense fog. 12 feet of water reported. ID:9151,HIGH,NEGATIVE,True,FLOOD,emergency_service,True,2024-11-07 03:32:00.592081
Missing person in downtown: Last seen 3 hours ago during hail. ID:7551,HIGH,NEGATIVE,True,OTHER,emergency_service,False,2024-11-15 22:42:00.599076
"Construction incident at highway 101. Area secured, 2 workers affected. ID:5153",MEDIUM,NEUTRAL,True,OTHER,emergency_service,False,2024-11-09 07:27:00.609721
Hospital in metropolitan area at 25% capacity. Seeking additional resources. ID:2280,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-20 21:23:00.597076
Minor incident: dense fog affecting city center. Use caution. #9079,LOW,NEUTRAL,False,WEATHER,news_agency,True,2024-11-12 02:52:00.634568
Minor flooding in city center. Water level risen 10 inches due to ice. ID:2237,MEDIUM,NEUTRAL,True,FLOOD,twitter,True,2024-11-14 04:17:00.603076
Minor incident: extreme heat affecting industrial zone. Use caution. #7027,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-11-07 00:27:00.634568
Regular update: Community event in west end. #3311,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-10-29 19:40:00.641033
significant landslide reported near residential district. 2 homes at risk. ID:7591,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-24 21:50:00.602076
Regular update: Community event in commercial zone. #5210,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-10-30 15:53:00.639890
Regular update: Community event in route 27. #3771,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-10-26 23:45:00.641033
Minor incident: heavy rain affecting central park. Use caution. #5420,LOW,NEUTRAL,False,WEATHER,news_agency,False,2024-11-11 01:48:00.632441
Minor incident: snow affecting riverside. Use caution. #8819,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-11-04 15:04:00.634568
Regular update: Community event in industrial zone. #3550,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-11-16 05:35:00.642039
Minor incident: snow affecting residential district. Use caution. #8911,LOW,NEUTRAL,False,WEATHER,public,False,2024-11-17 11:46:00.634568
Beach hazard at industrial zone: extreme heat causing dangerous conditions. ID:7702,MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-06 06:44:00.613026
Protest scheduled at north district. Expecting 800 participants. ID:1037,MEDIUM,NEUTRAL,True,OTHER,twitter,False,2024-11-15 23:42:00.611917
EMERGENCY: devastating chemical spill in main street. 30 mile evacuation zone. Hazmat responding. ID:5956,CRITICAL,PANIC,True,HAZMAT,twitter,True,2024-11-08 18:23:00.588080
EMERGENCY: massive chemical spill in harbor area. 9 mile evacuation zone. Hazmat responding. ID:9019,CRITICAL,PANIC,True,HAZMAT,public,True,2024-11-10 21:07:00.588080
Missing person in city center: Last seen 6 hours ago during heavy rain. ID:5117,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-11-15 01:52:00.599076
Regular update: Community event in downtown. #8707,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-10-21 06:30:00.642039
"Construction incident at residential district. Area secured, 3 workers affected. ID:5360",MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-10-29 06:17:00.609721
Beach hazard at main street: ice causing dangerous conditions. ID:8978,MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-08 09:19:00.613026
Beach hazard at residential district: snow causing dangerous conditions. ID:1735,MEDIUM,NEUTRAL,True,OTHER,public,True,2024-11-04 23:50:00.613026
Regular update: Community event in interstate 95. #5434,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-10-25 15:23:00.641033
8 traffic signals out in riverside due to dense fog. ID:4702,HIGH,NEGATIVE,True,OTHER,public,False,2024-10-29 13:45:00.600076
Minor incident: ice affecting south side. Use caution. #1369,LOW,NEUTRAL,False,WEATHER,news_agency,True,2024-10-26 11:47:00.633504
Minor incident: strong winds affecting main street. Use caution. #2395,LOW,NEUTRAL,False,WEATHER,public,False,2024-11-02 04:30:00.633504
heavy rain forecast for commercial zone. Expected duration: 6 hours. ID:2020,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-11-10 19:51:00.604090
Regular update: Community event in south side. #8512,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-10-21 08:49:00.639890
Active shooter at industrial zone. 4 casualties reported. Police operation ongoing. Stay away! ID:5026,CRITICAL,PANIC,True,VIOLENCE,public,False,2024-11-08 10:37:00.589081
"URGENT: devastating flooding in industrial zone, 25 people trapped! Rescue needed in next 30 minutes! #emergency ID:2597",CRITICAL,PANIC,True,FLOOD,emergency_service,True,2024-10-23 04:53:00.577082
Protest scheduled at suburban area. Expecting 700 participants. ID:4428,MEDIUM,NEUTRAL,True,OTHER,public,False,2024-10-19 12:10:00.611917
ALERT: critical tornado approaching east area. 30 minutes to seek shelter! #tornado ID:8316,CRITICAL,PANIC,True,TORNADO,twitter,False,2024-11-08 06:46:00.580082
Minor incident: hail affecting east area. Use caution. #2271,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-10-20 06:09:00.634568
Power outage affecting 8k residents in industrial zone after heavy rain. ID:1591,HIGH,NEGATIVE,True,OTHER,twitter,True,2024-11-01 22:21:00.593077
"URGENT: extensive flooding in highway 101, 10 people trapped! Rescue needed immediately! #emergency ID:6501",CRITICAL,PANIC,True,FLOOD,public,True,2024-11-16 04:18:00.577082
Traffic delay on industrial zone: 3 minute backup due to significant accident. ID:4630,MEDIUM,NEUTRAL,True,OTHER,twitter,False,2024-11-01 20:40:00.606075
Regular update: Community event in south side. #7733,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-11-14 07:01:00.642039
15 traffic signals out in downtown due to severe storm. ID:3698,HIGH,NEGATIVE,True,OTHER,news_agency,False,2024-10-22 09:47:00.600076
Regular update: Community event in main street. #3899,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-10-25 05:11:00.641033
main street roads flooded due to heavy rain. 7 feet of water reported. ID:1795,HIGH,NEGATIVE,True,FLOOD,emergency_service,False,2024-10-26 20:27:00.592081
Dam failure imminent at west end! 2 communities at risk. Evacuate without delay! #flood ID:5046,CRITICAL,PANIC,True,FLOOD,news_agency,True,2024-11-05 18:46:00.591079
Water contamination alert for interstate 95. Affects 7k residents. Boil advisory issued. ID:3204,HIGH,NEGATIVE,True,OTHER,public,False,2024-11-01 14:50:00.598077
Evacuation center at metropolitan area reaching capacity. 25 people sheltered. ID:8595,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-11-03 12:23:00.601091
Hospital in downtown at 12% capacity. Seeking additional resources. ID:8742,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-10-28 23:22:00.597076
Minor incident: severe storm affecting residential district. Use caution. #2485,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-11-16 10:00:00.634568
7 traffic signals out in downtown due to extreme heat. ID:3206,HIGH,NEGATIVE,True,OTHER,public,True,2024-11-10 12:56:00.600076
Dam failure imminent at highway 101! 3 communities at risk. Evacuate immediately! #flood ID:2788,CRITICAL,PANIC,True,FLOOD,public,True,2024-10-29 01:18:00.591079
Regular update: Community event in harbor area. #2618,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-10-30 03:04:00.642039
Hospital in city center at 15% capacity. Seeking additional resources. ID:5238,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-11-14 12:48:00.597076
Missing person in riverside: Last seen 5 hours ago during heavy rain. ID:6677,HIGH,NEGATIVE,True,OTHER,twitter,False,2024-11-12 20:10:00.599076
Building collapsed in main street after severe earthquake. 4+ people trapped. Emergency services responding. ID:1268,CRITICAL,PANIC,True,EARTHQUAKE,twitter,True,2024-11-08 10:47:00.582079
Minor incident: ice affecting commercial zone. Use caution. #2170,LOW,NEUTRAL,False,WEATHER,public,True,2024-11-05 13:49:00.634568
"Construction incident at interstate 95. Area secured, 9 workers affected. ID:9839",MEDIUM,NEUTRAL,True,OTHER,news_agency,False,2024-11-14 13:53:00.609721
devastating landslide reported near downtown. 30 homes at risk. ID:1426,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-22 19:32:00.602076
3 traffic signals out in central park due to extreme heat. ID:8218,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-11-09 07:41:00.600076
Hospital in north district at 12% capacity. Seeking additional resources. ID:3308,HIGH,NEGATIVE,True,OTHER,twitter,False,2024-11-01 15:46:00.597076
EMERGENCY: significant chemical spill in highway 101. 2 mile evacuation zone. Hazmat responding. ID:1444,CRITICAL,PANIC,True,HAZMAT,emergency_service,False,2024-11-01 02:57:00.588080
massive hurricane with ice approaching highway 101. Wind speeds 150mph. Immediate evacuation ordered! ID:8669,CRITICAL,PANIC,True,HURRICANE,news_agency,True,2024-11-14 13:05:00.583081
ALERT: massive tornado approaching suburban area. 3 minutes to seek shelter! #tornado ID:9817,CRITICAL,PANIC,True,TORNADO,public,True,2024-10-20 21:35:00.580082
Traffic delay on interstate 95: 7 minute backup due to extensive accident. ID:5375,MEDIUM,NEUTRAL,True,OTHER,public,True,2024-11-11 11:19:00.606075
EMERGENCY: serious chemical spill in south side. 5 mile evacuation zone. Hazmat responding. ID:6157,CRITICAL,PANIC,True,HAZMAT,public,True,2024-10-27 14:08:00.588080
Minor incident: ice affecting west end. Use caution. #5193,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-10-29 20:37:00.633504
Minor incident: strong winds affecting north district. Use caution. #8901,LOW,NEUTRAL,False,WEATHER,news_agency,True,2024-10-19 05:49:00.633504
Building collapsed in harbor area after significant earthquake. 15+ people trapped. Emergency services responding. ID:9571,CRITICAL,PANIC,True,EARTHQUAKE,emergency_service,True,2024-10-28 08:00:00.582079
Power outage affecting 8k residents in east area after heavy rain. ID:8921,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-31 09:42:00.593077
Water pressure issues reported in route 27. 10 households affected. ID:7214,MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-15 23:14:00.610805
Regular update: Community event in north district. #1327,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-11-01 00:08:00.639890
Regular update: Community event in riverside. #2798,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-10-25 00:56:00.643058
massive landslide reported near commercial zone. 8 homes at risk. ID:4468,HIGH,NEGATIVE,True,OTHER,twitter,False,2024-10-24 04:14:00.602076
Water pressure issues reported in highway 101. 2 households affected. ID:7417,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-11-01 21:58:00.610805
Minor flooding in central park. Water level risen 2 inches due to dense fog. ID:7339,MEDIUM,NEUTRAL,True,FLOOD,emergency_service,True,2024-11-01 02:18:00.603076
Minor incident: heavy rain affecting commercial zone. Use caution. #6223,LOW,NEUTRAL,False,WEATHER,public,False,2024-10-29 16:55:00.633504
Regular update: Community event in harbor area. #1876,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-10-25 19:52:00.639890
Protest scheduled at metropolitan area. Expecting 2500 participants. ID:5953,MEDIUM,NEUTRAL,True,OTHER,twitter,False,2024-10-20 10:42:00.611917
Minor incident: extreme heat affecting east area. Use caution. #5214,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-11-09 13:13:00.633504
Minor flooding in metropolitan area. Water level risen 6 inches due to severe storm. ID:2911,MEDIUM,NEUTRAL,True,FLOOD,public,True,2024-11-03 07:32:00.603076
Minor incident: extreme heat affecting riverside. Use caution. #6987,LOW,NEUTRAL,False,WEATHER,news_agency,False,2024-11-04 08:05:00.634568
Wildlife alert: considerable bear sighted in west end. Stay alert. ID:5739,MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-02 01:53:00.608076
city center roads flooded due to dense fog. 12 feet of water reported. ID:5823,HIGH,NEGATIVE,True,FLOOD,public,True,2024-11-12 00:47:00.592081
Regular update: Community event in south side. #7350,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-11-02 09:46:00.641033
Hospital in city center at 6% capacity. Seeking additional resources. ID:6232,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-11-03 02:20:00.597076
Minor flooding in harbor area. Water level risen 30 inches due to severe storm. ID:4145,MEDIUM,NEUTRAL,True,FLOOD,news_agency,True,2024-11-15 10:09:00.603076
Evacuation center at residential district reaching capacity. 7 people sheltered. ID:9832,HIGH,NEGATIVE,True,OTHER,public,False,2024-11-16 02:57:00.601091
extensive accident on suburban area: 8 vehicles involved. Multiple injuries. Avoid area immediately. ID:1613,CRITICAL,PANIC,True,OTHER,news_agency,False,2024-11-02 03:07:00.586081
12 casualties reported in major fire near highway 101. Evacuate without delay! #wildfire ID:6949,CRITICAL,PANIC,True,FIRE,news_agency,True,2024-10-22 04:54:00.579077
Minor incident: hail affecting commercial zone. Use caution. #4110,LOW,NEUTRAL,False,WEATHER,news_agency,False,2024-11-03 13:54:00.634568
major hurricane with strong winds approaching industrial zone. Wind speeds 90mph. Immediate evacuation ordered! ID:7846,CRITICAL,PANIC,True,HURRICANE,news_agency,True,2024-11-13 17:04:00.583081
Hospital in north district at 6% capacity. Seeking additional resources. ID:3787,HIGH,NEGATIVE,True,OTHER,twitter,True,2024-11-13 06:57:00.597076
Minor incident: heavy rain affecting highway 101. Use caution. #4445,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-10-19 10:53:00.634568
substantial landslide reported near north district. 4 homes at risk. ID:3487,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-29 05:10:00.602076
Regular update: Community event in riverside. #7984,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-11-12 17:45:00.641033
Regular update: Community event in west end. #8309,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-11-09 07:04:00.639890
Planned power outage in harbor area for 5 hours tomorrow. ID:9196,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-10-19 16:55:00.607076
Regular update: Community event in downtown. #7407,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-11-11 19:57:00.642039
Minor incident: lightning affecting route 27. Use caution. #1548,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-11-04 22:06:00.634568
Minor incident: hail affecting industrial zone. Use caution. #5094,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-10-24 18:47:00.634568
Minor incident: lightning affecting metropolitan area. Use caution. #4611,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-10-28 09:49:00.634568
10 aftershocks reported in main street. Magnitude extensive on Richter scale. ID:3970,HIGH,NEGATIVE,True,OTHER,public,True,2024-11-14 05:58:00.595077
Hospital in route 27 at 5% capacity. Seeking additional resources. ID:6919,HIGH,NEGATIVE,True,OTHER,emergency_service,False,2024-11-02 11:20:00.597076
Regular update: Community event in west end. #1045,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-11-01 17:05:00.639890
Minor incident: hail affecting north district. Use caution. #2161,LOW,NEUTRAL,False,WEATHER,public,False,2024-10-23 17:21:00.632441
Regular update: Community event in route 27. #8120,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-11-12 21:58:00.641033
25 aftershocks reported in interstate 95. Magnitude serious on Richter scale. ID:1533,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-11-09 08:48:00.595077
Regular update: Community event in route 27. #5232,NON_EMERGENCY,POSITIVE,False,NONE,twitter,True,2024-10-23 03:43:00.641033
25 casualties reported in major fire near east area. Evacuate without delay! #wildfire ID:5359,CRITICAL,PANIC,True,FIRE,public,False,2024-11-08 20:43:00.579077
Protest scheduled at city center. Expecting 800 participants. ID:1503,MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-11 13:15:00.611917
Minor incident: lightning affecting riverside. Use caution. #6272,LOW,NEUTRAL,False,WEATHER,news_agency,True,2024-10-23 12:16:00.634568
Protest scheduled at north district. Expecting 3000 participants. ID:1708,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-11-16 18:48:00.611917
Water pressure issues reported in south side. 2 households affected. ID:2106,MEDIUM,NEUTRAL,True,OTHER,public,True,2024-10-24 19:39:00.610805
Regular update: Community event in commercial zone. #2683,NON_EMERGENCY,POSITIVE,False,NONE,public,True,2024-10-23 01:11:00.639890
Regular update: Community event in industrial zone. #7032,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-11-07 14:08:00.642039
8 casualties reported in severe fire near commercial zone. Evacuate as soon as possible! #wildfire ID:2065,CRITICAL,PANIC,True,FIRE,public,True,2024-11-09 08:13:00.579077
Regular update: Community event in city center. #8517,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-11-05 16:36:00.640951
massive hurricane with ice approaching main street. Wind speeds 200mph. Immediate evacuation ordered! ID:4200,CRITICAL,PANIC,True,HURRICANE,public,True,2024-10-29 01:18:00.583081
Minor incident: severe storm affecting central park. Use caution. #7199,LOW,NEUTRAL,False,WEATHER,public,True,2024-10-23 17:59:00.633504
Power outage affecting 25k residents in riverside after extreme heat. ID:4297,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-21 07:02:00.593077
Evacuation center at route 27 reaching capacity. 7 people sheltered. ID:4459,HIGH,NEGATIVE,True,OTHER,news_agency,True,2024-10-31 20:49:00.601091
Minor incident: heavy rain affecting central park. Use caution. #8702,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-11-06 00:19:00.634568
Minor incident: severe storm affecting riverside. Use caution. #7530,LOW,NEUTRAL,False,WEATHER,news_agency,False,2024-11-16 07:36:00.634568
Minor incident: snow affecting north district. Use caution. #8166,LOW,NEUTRAL,False,WEATHER,public,True,2024-11-11 15:10:00.633504
Minor incident: ice affecting harbor area. Use caution. #3777,LOW,NEUTRAL,False,WEATHER,news_agency,True,2024-11-01 11:45:00.633504
8 traffic signals out in south side due to snow. ID:6826,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-11-17 20:02:00.600076
Building collapsed in residential district after major earthquake. 7+ people trapped. Emergency services responding. ID:9585,CRITICAL,PANIC,True,EARTHQUAKE,news_agency,True,2024-10-22 06:09:00.582079
Protest scheduled at commercial zone. Expecting 2000 participants. ID:6657,MEDIUM,NEUTRAL,True,OTHER,news_agency,False,2024-10-25 05:35:00.611917
CRITICAL: critical gas leak detected in highway 101. 6 block radius being evacuated immediately. ID:9956,CRITICAL,PANIC,True,OTHER,twitter,False,2024-11-12 22:17:00.585080
"URGENT: considerable flooding in metropolitan area, 20 people trapped! Rescue needed in next 30 minutes! #emergency ID:9929",CRITICAL,PANIC,True,FLOOD,public,True,2024-11-11 18:04:00.577082
Beach hazard at west end: ice causing dangerous conditions. ID:5570,MEDIUM,NEUTRAL,True,OTHER,twitter,True,2024-11-10 04:19:00.613026
Missing person in residential district: Last seen 5 hours ago during hail. ID:8477,HIGH,NEGATIVE,True,OTHER,twitter,False,2024-10-22 19:17:00.599076
Power outage affecting 10k residents in route 27 after lightning. ID:7298,HIGH,NEGATIVE,True,OTHER,emergency_service,True,2024-10-26 20:35:00.593077
Minor incident: snow affecting suburban area. Use caution. #8140,LOW,NEUTRAL,False,WEATHER,public,True,2024-11-11 20:16:00.633504
Hospital in central park at 9% capacity. Seeking additional resources. ID:4024,HIGH,NEGATIVE,True,OTHER,twitter,False,2024-11-02 13:06:00.597076
Minor incident: snow affecting residential district. Use caution. #5838,LOW,NEUTRAL,False,WEATHER,news_agency,False,2024-11-08 08:56:00.633504
central park roads flooded due to lightning. 9 feet of water reported. ID:7063,HIGH,NEGATIVE,True,FLOOD,public,True,2024-11-12 15:23:00.592081
Protest scheduled at route 27. Expecting 300 participants. ID:7372,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-11-06 11:32:00.611917
Regular update: Community event in north district. #4863,NON_EMERGENCY,POSITIVE,False,NONE,twitter,False,2024-10-28 10:45:00.641033
Regular update: Community event in central park. #2993,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-10-27 07:12:00.642039
Minor incident: extreme heat affecting suburban area. Use caution. #1549,LOW,NEUTRAL,False,WEATHER,public,True,2024-10-19 22:56:00.633504
severe hurricane with hail approaching west end. Wind speeds 300mph. Immediate evacuation ordered! ID:2180,CRITICAL,PANIC,True,HURRICANE,public,False,2024-11-09 02:14:00.583081
Minor incident: dense fog affecting west end. Use caution. #6545,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-11-06 12:48:00.633504
ALERT: massive tornado approaching route 27. 20 minutes to seek shelter! #tornado ID:9365,CRITICAL,PANIC,True,TORNADO,emergency_service,True,2024-11-16 23:14:00.580082
Dam failure imminent at central park! 5 communities at risk. Evacuate immediately! #flood ID:5020,CRITICAL,PANIC,True,FLOOD,public,True,2024-11-17 05:05:00.591079
devastating hurricane with hail approaching central park. Wind speeds 20mph. Immediate evacuation ordered! ID:2711,CRITICAL,PANIC,True,HURRICANE,twitter,True,2024-11-14 22:03:00.583081
Water pressure issues reported in main street. 3 households affected. ID:2226,MEDIUM,NEUTRAL,True,OTHER,public,False,2024-11-02 02:43:00.610805
Regular update: Community event in downtown. #1529,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,True,2024-10-21 05:55:00.642039
Minor incident: strong winds affecting metropolitan area. Use caution. #8796,LOW,NEUTRAL,False,WEATHER,twitter,True,2024-11-05 03:32:00.634568
Power outage affecting 2k residents in south side after snow. ID:2069,HIGH,NEGATIVE,True,OTHER,twitter,False,2024-10-29 17:53:00.593077
serious hurricane with severe storm approaching highway 101. Wind speeds 100mph. Immediate evacuation ordered! ID:6554,CRITICAL,PANIC,True,HURRICANE,twitter,True,2024-11-04 08:26:00.583081
"Construction incident at central park. Area secured, 3 workers affected. ID:2771",MEDIUM,NEUTRAL,True,OTHER,news_agency,False,2024-11-12 11:14:00.609721
Minor incident: heavy rain affecting north district. Use caution. #9647,LOW,NEUTRAL,False,WEATHER,public,False,2024-10-19 11:27:00.633504
Minor incident: severe storm affecting route 27. Use caution. #6922,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-11-11 09:53:00.632441
Beach hazard at metropolitan area: lightning causing dangerous conditions. ID:7131,MEDIUM,NEUTRAL,True,OTHER,emergency_service,True,2024-10-24 22:32:00.613026
Wildlife alert: serious bear sighted in metropolitan area. Stay alert. ID:5047,MEDIUM,NEUTRAL,True,OTHER,news_agency,True,2024-10-30 15:03:00.608076
Regular update: Community event in downtown. #2314,NON_EMERGENCY,POSITIVE,False,NONE,public,False,2024-10-31 19:37:00.639890
Minor incident: heavy rain affecting south side. Use caution. #8036,LOW,NEUTRAL,False,WEATHER,twitter,False,2024-10-22 07:19:00.634568
2 traffic signals out in central park due to strong winds. ID:9657,HIGH,NEGATIVE,True,OTHER,public,True,2024-10-24 13:26:00.600076
5 casualties reported in extensive fire near south side. Evacuate immediately! #wildfire ID:4050,CRITICAL,PANIC,True,FIRE,news_agency,False,2024-10-23 20:54:00.579077
Active shooter at highway 101. 2 casualties reported. Police operation ongoing. Stay away! ID:1164,CRITICAL,PANIC,True,VIOLENCE,news_agency,True,2024-11-13 10:37:00.589081
EMERGENCY: major chemical spill in central park. 25 mile evacuation zone. Hazmat responding. ID:8951,CRITICAL,PANIC,True,HAZMAT,emergency_service,True,2024-10-27 01:46:00.588080
"severe brush fire near central park, spreading urgently. 5 acres affected. ID:9894",HIGH,NEGATIVE,True,FIRE,emergency_service,True,2024-11-14 07:26:00.594077
severe storm forecast for suburban area. Expected duration: 25 hours. ID:1042,MEDIUM,NEUTRAL,True,OTHER,public,False,2024-11-11 06:38:00.604090
Minor incident: heavy rain affecting central park. Use caution. #4320,LOW,NEUTRAL,False,WEATHER,public,False,2024-10-21 00:46:00.633504
Beach hazard at central park: hail causing dangerous conditions. ID:3817,MEDIUM,NEUTRAL,True,OTHER,emergency_service,False,2024-11-08 21:08:00.613026
Regular update: Community event in city center. #4125,NON_EMERGENCY,POSITIVE,False,NONE,news_agency,False,2024-10-30 01:23:00.639890
"considerable brush fire near metropolitan area, spreading as soon as possible. 30 acres affected. ID:9122",HIGH,NEGATIVE,True,FIRE,emergency_service,False,2024-11-16 04:27:00.594077
